Designator,Footprint,Quantity,Value,LCSC Part #
"AFF1, AFF2, AFF3, AFF4",7SegmentLED_LTS6760_LTS6780,4,LTS-6980HR,
"C1, C10, C11, C12, C13, C14, C3, C4, C5, C9",1206,10,100n,
C2,1206,1,10u,
"CLK1, PAUSE1, RESET1, UP/DOWN1",SW_PUSH_6mm,4,SW_Push,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,Conn_01x02_Pin,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R38, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,29,1k,
R19,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,33k,
"R2, R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,NC,
"R20, R21, R35, R37",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10k,
R36,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47k,
RV1,Potentiometer_ACP_CA9-V10_Vertical_Hole,1,R_Potentiometer,
"U10, U11, U12, U13",DIP-16_W7.62mm_LongPads,4,4510,
"U3, U4, U8, U9",DIP-16_W7.62mm,4,4056,
U5,DIP-8_W7.62mm_Socket_LongPads,1,ICM7555xP,
